person,picture_name,keith_emotion,keith_emotion_strength
keith,keith(290).jpg,sad,0.37
keith,shadow-brexit-secretary-sir-keir-starmer-and-jenny-chapman-during-J25F84.png,sad,0.54
keith,iu8.png,neutral,0.33
keith,keith(349).jpg,happy,0.46
keith,Keir11.png,happy,0.71
keith,keith(276).jpg,happy,0.78
keith,keith(392).jpg,neutral,0.47
keith,keith(28).jpg,angry,0.8
keith,keith(185).jpg,happy,0.32
keith,iu28.png,happy,1
keith,keith(351).jpg,angry,0.96
keith,keith(53).jpg,angry,0.53
keith,3500.png,angry,0.92
keith,keith(429).jpg,neutral,0.36
keith,keith(89).jpg,neutral,0.66
keith,keith(62).jpg,angry,0.76
keith,keith(436).jpg,happy,0.79
keith,keith(175).jpg,angry,0.43
keith,keith(174).jpg,angry,0.55
keith,keith(399).jpg,happy,0.61
keith,47A7A52600000578-5223897-Shadow_Brexit_Secretary_Keir_Starmer_bottom_of_parliamentary_wor-a-27_15146.png,angry,0.35
keith,keith(438).jpg,angry,0.53
keith,Keir_Starmer__web_version.png,fear,0.27
keith,keith(208).jpg,neutral,0.46
keith,2162.png,angry,0.77
keith,keith(68).jpg,happy,0.48
keith,keith(84).jpg,angry,0.52
keith,labour-leader-keir-starmer-is-shown-around-barford-park-farm-by-nfu-picture-id1279151169.png,sad,0.44
keith,0_Keir-Starmer-Observes-Serious-Violence-Reduction-Work-At-Elland-Road-Stadium.png,neutral,0.58
keith,keith(266).jpg,neutral,0.59
keith,1_IVM_MDM06112019-04JPG.png,happy,0.99
keith,2020-02-05-5-UK_350.png,angry,0.66
keith,iu54.png,neutral,0.84
keith,iu15.png,neutral,0.38
keith,keith(415).jpg,angry,0.38
keith,iu61.png,angry,0.65
keith,keith(408).jpg,neutral,0.5
keith,keith(327).jpg,sad,0.56
keith,keith(106).jpg,angry,0.72
keith,keith(219).jpg,angry,0.32
keith,b25lY21zOjQ5NzU5NWExLTM3NTctNDIzOC05MjEzLTQ3ZWVjMmJmNjcyZTo4NjQxODY3Yi0wM2ExLTRhMDgtOGQyMC00OWRhZTk1.png,neutral,0.4
keith,keith(193).jpg,angry,0.51
keith,keith(59).jpg,angry,0.34
keith,keith(393).jpg,happy,0.48
keith,20200627_BRP002_0.png,happy,0.88
keith,keir2.png,neutral,0.42
keith,keith(9).jpg,sad,0.36
keith,keith(401).jpg,angry,0.45
keith,keith(469).jpg,angry,0.8
keith,keith(455).jpg,sad,0.5
keith,iu43.png,happy,0.99
keith,keith(345).jpg,sad,0.45
keith,keith(246).jpg,happy,1
keith,keith(231).jpg,happy,0.94
keith,importedImage371892_3.png,neutral,0.52
keith,Jeremy-Corbyn-blasts-Keir-Starmer-for-039blaming-me039-for-Labour-480x384.png,angry,0.36
keith,keith(212).jpg,happy,0.42
keith,keith(395).jpg,sad,0.38
keith,keith(379).jpg,neutral,0.42
keith,keith(96).jpg,angry,0.52
keith,keith(52).jpg,angry,0.39
keith,28342642-0-image-a-30_1589374026429.png,sad,0.65
keith,keith(428).jpg,sad,0.32
keith,keith(65).jpg,happy,0.75
keith,keith(331).jpg,angry,0.84
keith,keith(69).jpg,happy,0.68
keith,keith(123).jpg,sad,0.49
keith,keith(181).jpg,neutral,0.69
keith,12568988.png,sad,0.43
keith,keir1.png,neutral,0.68
keith,keith(125).jpg,angry,0.98
keith,keith(333).jpg,angry,0.44
keith,38841700-9231889-In_2014_he_accepted_a_knighthood_as_a_Knight_Commander_of_the_Or-a-31_1612641386965.png,angry,0.33
keith,keith(420).jpg,angry,0.4
keith,keith(99).jpg,neutral,0.83
keith,keith(147).jpg,angry,0.76
keith,keith(292).jpg,angry,0.51
keith,keith(124).jpg,happy,0.44
keith,QVNIMTE2Njc5NDYx.png,neutral,0.44
keith,Keir-Starmer-takes-a-knee-June-2020-.png,neutral,0.36
keith,Keir-Starmer-wife.png,happy,0.56
keith,keith(101).jpg,happy,0.54
keith,labour-leadership-candidate-sir-keir-starmer-meets-patient-neil-storey-during-a-visit-to-addenbrooke.png,sad,0.32
keith,keith(205).jpg,neutral,0.51
keith,0_Keir-Starmer-on-his-visit-to-Hartlepool.png,sad,0.35
keith,keith(319).jpg,sad,0.38
keith,keith(143).jpg,angry,0.44
keith,keith(341).jpg,neutral,0.54
keith,iu40.png,angry,0.9
keith,23285790-0-image-a-42_1578786083051.png,happy,0.46
keith,keith(204).jpg,neutral,0.59
keith,keith(104).jpg,sad,0.61
keith,keirstarmer-2000x1270-1.png,neutral,0.65
keith,keith(130).jpg,happy,0.76
keith,keith(355).jpg,angry,0.62
keith,2Fmethode2Fsundaytimes2Fprod2Fweb2Fbin2F0f126370-5e25-11ea-8f5d-5d06dfa1e7b9.png,happy,0.7
keith,iu5.png,happy,0.33
keith,keith(49).jpg,sad,0.41
keith,keith(317).jpg,happy,0.39
keith,iu66.png,angry,0.52
keith,keith(199).jpg,happy,0.43
keith,keith(24).jpg,neutral,0.49
keith,keith(94).jpg,neutral,0.56
keith,12536408.png,angry,0.71
keith,keith(421).jpg,happy,0.83
keith,keith(338).jpg,angry,0.83
keith,keith(303).jpg,sad,0.42
keith,keith(447).jpg,happy,0.97
keith,keith(22).jpg,neutral,0.96
keith,http3A2F2Fcom.png,happy,0.9
keith,iu56.png,happy,0.68
keith,EOWw3a3XUAIYhgy.png,neutral,0.66
keith,keith(449).jpg,angry,0.62
keith,keith(291).jpg,angry,0.51
keith,E1vEZGYWUAIbjgF.png,neutral,0.41
keith,keith(315).jpg,sad,0.41
keith,keith(322).jpg,sad,0.54
keith,keith(430).jpg,neutral,0.6
keith,keith(19).jpg,happy,0.99
keith,keith(110).jpg,happy,0.38
keith,2Fmethode2Ftimes2Fprod2Fweb2Fbin2Fa4bec5a8-6d4c-11eb-bc24-b1bb9cd3bc5f.png,angry,0.5
keith,parli-cafe-meeting-06-04-16-2.png,neutral,0.55
keith,GettyImages-1282803692-scaled-e1608051070957.png,sad,0.32
keith,iu4.png,neutral,0.47
keith,keith(347).jpg,angry,0.61
keith,iu25.png,neutral,0.63
keith,keith(281).jpg,angry,0.86
keith,Damian-From-1.png,sad,0.51
keith,keith(268).jpg,happy,0.67
keith,keith(287).jpg,angry,0.46
keith,keith(464).jpg,sad,0.55
keith,keith(339).jpg,happy,1
keith,keith(188).jpg,angry,0.44
keith,keith(226).jpg,happy,0.46
keith,keith(242).jpg,sad,0.77
keith,keith(151).jpg,angry,0.43
keith,190205885-b09f3d6d-7285-427d-8cf2-0a64e3645b2a.png,neutral,0.67
keith,keith(222).jpg,happy,0.37
keith,iu9.png,neutral,0.68
keith,keith(316).jpg,angry,0.67
keith,keith(126).jpg,happy,0.8
keith,Keir-Starmer-labour-party-poll-latest-1401039.png,happy,0.75
keith,keith(214).jpg,happy,1
keith,keith(183).jpg,angry,0.7
keith,keith(279).jpg,happy,0.98
keith,keith(198).jpg,angry,0.48
keith,keith(86).jpg,neutral,0.34
keith,keith(156).jpg,neutral,0.51
keith,keith(190).jpg,neutral,0.34
keith,dhgqrpiw0aaruv3.png,neutral,0.48
keith,keith(270).jpg,neutral,0.44
keith,keith(402).jpg,happy,0.34
keith,labour-leader-sir-keir-starmer-pulls-a-pint-of-tribute-behind-the-bar-picture-id1262376773.png,happy,0.89
keith,maxresdefault2.png,happy,0.99
keith,keith(289).jpg,happy,0.88
keith,iu48.png,happy,1
keith,Keir_Starmer_QC_Director_of_Public_Prosecutions_Crown_Prosecution_Service_UK_8450776372.png,angry,0.28
keith,keith(135).jpg,angry,0.47
keith,keith(148).jpg,sad,0.34
keith,keith(10).jpg,happy,1
keith,keith(55).jpg,neutral,0.75
keith,keith(366).jpg,neutral,0.84
keith,keith(33).jpg,neutral,0.43
keith,iu42.png,neutral,0.52
keith,keith(95).jpg,angry,0.44
keith,iu18.png,neutral,0.29
keith,iu68.png,neutral,0.33
keith,keith(11).jpg,neutral,0.32
keith,E0YrycnWEAQSdt-.png,fear,0.29
keith,iu59.png,neutral,0.69
keith,keith(217).jpg,happy,0.75
keith,keith(43).jpg,happy,0.96
keith,keith(38).jpg,happy,0.99
keith,keith(241).jpg,happy,0.96
keith,keith(105).jpg,happy,0.48
keith,SK-Keir-nametags-800x0-c-default.png,happy,0.98
keith,keith(41).jpg,happy,0.91
keith,iu19.png,happy,1
keith,1_Senedd-election.png,sad,0.41
keith,keith(364).jpg,sad,0.6
keith,iu65.png,neutral,0.84
keith,keith(172).jpg,neutral,0.83
keith,keith(263).jpg,neutral,0.38
keith,keith(275).jpg,sad,0.59
keith,keith(409).jpg,surprise,0.4
keith,keith(235).jpg,happy,0.79
keith,keith(297).jpg,neutral,0.63
keith,keith(389).jpg,angry,0.43
keith,iu13.png,fear,0.42
keith,keith(100).jpg,happy,0.8
keith,keith(309).jpg,angry,0.53
keith,keith(390).jpg,neutral,0.68
keith,keith(160).jpg,angry,0.81
keith,keith(34).jpg,happy,0.36
keith,keith(4).jpg,neutral,0.57
keith,keith(283).jpg,angry,0.4
keith,starmer-wtf.png,neutral,0.82
keith,img_0251-1000x776.png,happy,1
keith,keith(460).jpg,angry,0.74
keith,E1YkDn7XsAAaMH1.png,angry,0.51
keith,keith(419).jpg,neutral,0.56
keith,keith(47).jpg,happy,0.84
keith,18889292_1345789925497222_3951379846579355648_n.png,neutral,0.58
keith,keith(434).jpg,neutral,0.28
keith,keith(321).jpg,happy,0.97
keith,iu.png,angry,0.42
keith,labour-party-leader-sir-keir-starmer-holds-a-dog-as-he-meets-members-picture-id1315642032.png,happy,0.68
keith,keith(48).jpg,angry,0.45
keith,keith(109).jpg,angry,0.51
keith,keith(274).jpg,angry,0.63
keith,EOgtevSXsAA8OC3.png,sad,0.32
keith,labour-leader-sir-keir-starmer-during-a-visit-to-national-farmers-union-president-minette-batters-fa.png,happy,0.99
keith,keith(21).jpg,neutral,0.5
keith,834df3c3212a7128d1cf7f02b5f75420.png,neutral,0.69
keith,keith(155).jpg,neutral,0.7
keith,keith(90).jpg,angry,0.7
keith,starmer-thornberry-labour-brexit-remain.png,sad,0.43
keith,keith(134).jpg,neutral,0.57
keith,keith(171).jpg,angry,0.63
keith,keith(285).jpg,angry,0.37
keith,da50c803-f8d7-49a1-9fa6-3b1689a7f513-2060x1305.png,angry,0.36
keith,keith(158).jpg,angry,0.89
keith,keith(439).jpg,happy,0.3
keith,keith(278).jpg,angry,0.73
keith,keith(97).jpg,angry,0.43
keith,2283.png,angry,0.95
keith,keith(129).jpg,neutral,0.45
keith,keith(384).jpg,angry,0.97
keith,keith(145).jpg,neutral,0.76
keith,3482.png,angry,0.32
keith,keith(75).jpg,angry,0.36
keith,keith(180).jpg,angry,0.4
keith,keith(141).jpg,neutral,0.76
keith,keith(2).jpg,happy,0.42
keith,keith(236).jpg,angry,0.43
keith,keith(383).jpg,angry,0.5
keith,labour-party-news-anti-semitism-len-mccluskey-keir-starmer-1317873.png,neutral,0.72
keith,keith(265).jpg,happy,0.84
keith,keith(354).jpg,sad,0.53
keith,Keir-Starmer-The-Labour-leader-has-previously-said-he-would-downsize-the-Royal-Family-1372729.png,sad,0.65
keith,E0oBbESWQAE7kiC.png,sad,0.43
keith,keith(182).jpg,angry,0.7
keith,Sadiq-Khan-London-Keir-Starmer-labour-party-news-1335314.png,neutral,0.59
keith,Keir-Starmer.png,neutral,0.42
keith,iu10.png,neutral,0.43
keith,keith(115).jpg,angry,0.4
keith,keith(381).jpg,angry,0.68
keith,keith(377).jpg,happy,0.28
keith,keith(444).jpg,sad,0.62
keith,keith(310).jpg,sad,0.45
keith,keith(325).jpg,angry,0.49
keith,iu11.png,happy,0.37
keith,keith(167).jpg,happy,0.94
keith,keith(441).jpg,neutral,0.63
keith,STARMER--BINT.png,neutral,0.68
keith,keith(252).jpg,sad,0.38
keith,starmer180221_web.png,neutral,0.75
keith,keith(363).jpg,angry,0.53
keith,keith(374).jpg,neutral,0.75
keith,image2.png,sad,0.42
keith,43053129-9584911-Sir_Keir_still_regularly_plays_football_an_impressive_feat_at_th-a-3_1621187229331.png,sad,0.37
keith,keith(80).jpg,sad,0.4
keith,keith(343).jpg,neutral,0.58
keith,keith(23).jpg,neutral,0.38
keith,0_23415250-1.png,sad,0.68
keith,keith(334).jpg,happy,0.96
keith,iu6.png,sad,0.39
keith,sir-keir-starmer-out-and-about-london-uk-shutterstock-editorial-10990812f.png,angry,0.42
keith,keith(230).jpg,angry,0.56
keith,unknown.png,fear,0.29
keith,iu14.png,happy,0.5
keith,keith(318).jpg,neutral,0.42
keith,5065.png,happy,0.83
keith,keith(369).jpg,neutral,0.51
keith,RpW3Aun_iPg-1.png,fear,0.37
keith,keith(218).jpg,angry,0.54
